"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"GO-BP","D3_vs_D0","regulation of viral transcription","4/469","20/18842",4,0.00133754333720795,0.0243472616381864,0.0117806124509271
"GO-BP","D3_vs_D0","negative regulation of regulated secretory pathway","4/469","20/18842",4,0.00133754333720795,0.0243472616381864,0.0117806124509271
"GO-BP","D3_vs_D0","platelet aggregation","7/469","67/18842",7,0.0013577238516538,0.0245928601109902,0.0118994471876477
"GO-BP","D3_vs_D0","mast cell mediated immunity","6/469","50/18842",6,0.00144779691199578,0.0260958296343553,0.0126266707146068
"GO-BP","D3_vs_D0","symbiont entry into host cell","10/469","129/18842",10,0.00145858537638692,0.0261620411169498,0.0126587076569061
"GO-BP","D3_vs_D0","regulation of body fluid levels","18/469","327/18842",18,0.00148798768184723,0.0265598577968556,0.0128511943604265
"GO-BP","D3_vs_D0","antibody-dependent cellular cytotoxicity","3/469","10/18842",3,0.00161394140918182,0.0281254149837041,0.0136087014165424
"GO-BP","D3_vs_D0","type IIa hypersensitivity","3/469","10/18842",3,0.00161394140918182,0.0281254149837041,0.0136087014165424
"GO-BP","D3_vs_D0","type II hypersensitivity","3/469","10/18842",3,0.00161394140918182,0.0281254149837041,0.0136087014165424
"GO-BP","D3_vs_D0","interleukin-18-mediated signaling pathway","3/469","10/18842",3,0.00161394140918182,0.0281254149837041,0.0136087014165424
"GO-BP","D3_vs_D0","cellular response to interleukin-18","3/469","10/18842",3,0.00161394140918182,0.0281254149837041,0.0136087014165424
"GO-BP","D3_vs_D0","negative regulation of response to cytokine stimulus","9/469","110/18842",9,0.00171320345412288,0.0297143825509898,0.0143775357678326
"GO-BP","D3_vs_D0","mast cell activation involved in immune response","6/469","52/18842",6,0.00177903898016126,0.0307113912209059,0.0148599461893838
"GO-BP","D3_vs_D0","phagocytosis","14/469","228/18842",14,0.0017904571494428,0.0307640698060802,0.0148854351337104
"GO-BP","D3_vs_D0","cellular response to type II interferon","7/469","71/18842",7,0.0019072413082527,0.0326182618160241,0.0157826004003166
"GO-BP","D3_vs_D0","defense response to Gram-positive bacterium","9/469","112/18842",9,0.00194112072431696,0.0330439856634882,0.0159885902045345
"GO-BP","D3_vs_D0","unsaturated fatty acid biosynthetic process","6/469","53/18842",6,0.00196475191028413,0.0331394163950218,0.0160347651083415
"GO-BP","D3_vs_D0","glial cell activation","6/469","53/18842",6,0.00196475191028413,0.0331394163950218,0.0160347651083415
"GO-BP","D3_vs_D0","cell surface toll-like receptor signaling pathway","7/469","72/18842",7,0.00206830573911754,0.0347267589165991,0.0168028131685903
"GO-BP","D3_vs_D0","homotypic cell-cell adhesion","8/469","92/18842",8,0.00208029898967022,0.0347693608409882,0.0168234264419986
"GO-BP","D3_vs_D0","toll-like receptor 7 signaling pathway","3/469","11/18842",3,0.00217835530563601,0.0360467360845244,0.0174414944170397
"GO-BP","D3_vs_D0","positive regulation of RIG-I signaling pathway","3/469","11/18842",3,0.00217835530563601,0.0360467360845244,0.0174414944170397
"GO-BP","D3_vs_D0","wound healing","20/469","394/18842",20,0.00218613602035598,0.0360467360845244,0.0174414944170397
"GO-BP","D3_vs_D0","response to interleukin-1","9/469","115/18842",9,0.00232774679702257,0.0382103793421964,0.0184883900835617
"GO-BP","D3_vs_D0","cellular component disassembly","22/469","455/18842",22,0.00245970257150163,0.0401128016845575,0.0194088919727019
"GO-BP","D3_vs_D0","positive regulation of apoptotic process","23/469","484/18842",23,0.00246545911903998,0.0401128016845575,0.0194088919727019
"GO-BP","D3_vs_D0","chemokine-mediated signaling pathway","8/469","95/18842",8,0.00254713740311225,0.0412591375825715,0.0199635555383124
"GO-BP","D3_vs_D0","type II interferon production","9/469","117/18842",9,0.00261781894481517,0.0420337129261371,0.0203383398599413
"GO-BP","D3_vs_D0","regulation of type II interferon production","9/469","117/18842",9,0.00261781894481517,0.0420337129261371,0.0203383398599413
"GO-BP","D3_vs_D0","regulation of DNA binding","5/469","39/18842",5,0.00267994967822459,0.042658766090181,0.020640776708744
"GO-BP","D3_vs_D0","positive regulation of lymphocyte migration","5/469","39/18842",5,0.00267994967822459,0.042658766090181,0.020640776708744
"GO-BP","D3_vs_D0","dendritic cell chemotaxis","4/469","24/18842",4,0.00271170566649095,0.0427937413548807,0.0207060855433685
"GO-BP","D3_vs_D0","host-mediated suppression of symbiont invasion","4/469","24/18842",4,0.00271170566649095,0.0427937413548807,0.0207060855433685
"GO-BP","D3_vs_D0","regulation of norepinephrine secretion","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","norepinephrine secretion","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","induction of positive chemotaxis","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","protein auto-ADP-ribosylation","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","response to interleukin-18","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","neutrophil extravasation","3/469","12/18842",3,0.00285112345562625,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","positive regulation of non-canonical NF-kappaB signal transduction","6/469","57/18842",6,0.00285741398501737,0.043777963428787,0.0211823090707057
"GO-BP","D3_vs_D0","positive regulation of myeloid cell differentiation","8/469","97/18842",8,0.00290129243785267,0.0442657771534617,0.0214183415463096
"GO-BP","D3_vs_D0","T cell cytokine production","5/469","40/18842",5,0.00300120925440543,0.045413359787855,0.0219736083550416
"GO-BP","D3_vs_D0","regulation of T cell cytokine production","5/469","40/18842",5,0.00300120925440543,0.045413359787855,0.0219736083550416
"GO-BP","D3_vs_D0","regulated exocytosis","13/469","216/18842",13,0.00305956049349374,0.0461065735023626,0.0223090252178347
"GO-BP","D3_vs_D0","viral transcription","4/469","25/18842",4,0.00316553296894718,0.0467456414731677,0.0226182432402035
"GO-BP","D3_vs_D0","positive regulation of interferon-alpha production","4/469","25/18842",4,0.00316553296894718,0.0467456414731677,0.0226182432402035
"GO-BP","D3_vs_D0","hydrogen peroxide catabolic process","4/469","25/18842",4,0.00316553296894718,0.0467456414731677,0.0226182432402035
"GO-BP","D3_vs_D0","negative regulation of B cell activation","4/469","25/18842",4,0.00316553296894718,0.0467456414731677,0.0226182432402035
"GO-BP","D3_vs_D0","modulation by symbiont of entry into host","4/469","25/18842",4,0.00316553296894718,0.0467456414731677,0.0226182432402035
"GO-BP","D3_vs_D0","activated T cell proliferation","5/469","41/18842",5,0.00334935532089979,0.0492623180597941,0.0238359568365805
"KEGG","D3_vs_D0","NOD-like receptor signaling pathway","24/259","187/9424",24,2.55109964909974e-10,7.01552403502429e-08,7.01552403502429e-08
"KEGG","D3_vs_D0","Influenza A","22/259","173/9424",22,1.76061854662831e-09,2.42085050161392e-07,2.42085050161392e-07
"KEGG","D3_vs_D0","Measles","18/259","136/9424",18,2.97136718346346e-08,2.72375325150817e-06,2.72375325150817e-06
"KEGG","D3_vs_D0","Hepatitis C","19/259","156/9424",19,4.79952551666112e-08,3.29967379270452e-06,3.29967379270452e-06
"KEGG","D3_vs_D0","Herpes simplex virus 1 infection","19/259","180/9424",19,4.71864689337009e-07,2.42286781805064e-05,2.42286781805064e-05
"KEGG","D3_vs_D0","Viral protein interaction with cytokine and cytokine receptor","14/259","100/9424",14,5.28625705756502e-07,2.42286781805064e-05,2.42286781805064e-05
"KEGG","D3_vs_D0","Epstein-Barr virus infection","20/259","205/9424",20,8.33698064709659e-07,3.27524239707366e-05,3.27524239707366e-05
"KEGG","D3_vs_D0","Kaposi sarcoma-associated herpesvirus infection","19/259","196/9424",19,1.74328454660862e-06,5.99254062896713e-05,5.99254062896713e-05
"KEGG","D3_vs_D0","Neutrophil extracellular trap formation","18/259","195/9424",18,6.58115118244173e-06,0.000201090730574609,0.000201090730574609
"KEGG","D3_vs_D0","Legionellosis","9/259","56/9424",9,1.90473192335654e-05,0.000523801278923047,0.000523801278923047
"KEGG","D3_vs_D0","Human papillomavirus infection","23/259","333/9424",23,4.32638885579142e-05,0.00108159721394785,0.00108159721394785
"KEGG","D3_vs_D0","IL-17 signaling pathway","11/259","94/9424",11,5.01250911440835e-05,0.00114870000538525,0.00114870000538525
"KEGG","D3_vs_D0","Staphylococcus aureus infection","11/259","99/9424",11,8.10734401243969e-05,0.00168859202425871,0.00168859202425871
"KEGG","D3_vs_D0","Cytosolic DNA-sensing pathway","10/259","83/9424",10,8.59646848713527e-05,0.00168859202425871,0.00168859202425871
"KEGG","D3_vs_D0","Phagocytosis","19/259","260/9424",19,9.70523036124287e-05,0.00173775050407358,0.00173775050407358
"KEGG","D3_vs_D0","Coronavirus disease","18/259","239/9424",18,0.000101105483873372,0.00173775050407358,0.00173775050407358
"KEGG","D3_vs_D0","Osteoclast differentiation","13/259","142/9424",13,0.000139899559289925,0.00226308110616055,0.00226308110616055
"KEGG","D3_vs_D0","Systemic lupus erythematosus","13/259","143/9424",13,0.000150183529846152,0.00229447059487177,0.00229447059487177
"KEGG","D3_vs_D0","Lipid and atherosclerosis","16/259","216/9424",16,0.0002966560320618,0.00429370572721026,0.00429370572721026
"KEGG","D3_vs_D0","Efferocytosis","13/259","158/9424",13,0.000402670975556067,0.00553139434317153,0.00553139434317153
"KEGG","D3_vs_D0","Transcriptional misregulation in cancer","15/259","201/9424",15,0.000422397386205826,0.00553139434317153,0.00553139434317153
"KEGG","D3_vs_D0","Viral carcinogenesis","15/259","205/9424",15,0.000520293754506692,0.00650367193133366,0.00650367193133366
"KEGG","D3_vs_D0","RIG-I-like receptor signaling pathway","8/259","72/9424",8,0.000763782272689305,0.00913217934737212,0.00913217934737212
"KEGG","D3_vs_D0","Toll-like receptor signaling pathway","10/259","109/9424",10,0.000806701568997872,0.00924345547810062,0.00924345547810062
"KEGG","D3_vs_D0","Cytokine-cytokine receptor interaction","18/259","298/9424",18,0.00143645326953536,0.015800985964889,0.015800985964889
"KEGG","D3_vs_D0","Necroptosis","12/259","168/9424",12,0.00227658140776981,0.0230568045283547,0.0230568045283547
"KEGG","D3_vs_D0","Malaria","6/259","50/9424",6,0.00234389517200107,0.0230568045283547,0.0230568045283547
"KEGG","D3_vs_D0","NF-kappa B signaling pathway","9/259","105/9424",9,0.00234760191561429,0.0230568045283547,0.0230568045283547
"KEGG","D3_vs_D0","Natural killer cell mediated cytotoxicity","10/259","133/9424",10,0.00359734848173835,0.0331015562971684,0.0331015562971684
"KEGG","D3_vs_D0","Salmonella infection","15/259","249/9424",15,0.00361107886878201,0.0331015562971684,0.0331015562971684
"KEGG","D3_vs_D0","Hepatitis B","11/259","163/9424",11,0.00527141698655643,0.0456652661385841,0.0456652661385841
"KEGG","D3_vs_D0","TNF signaling pathway","9/259","119/9424",9,0.00542573871967417,0.0456652661385841,0.0456652661385841
"KEGG","D3_vs_D0","Pertussis","7/259","78/9424",7,0.0054798319366301,0.0456652661385841,0.0456652661385841
"Reactome","D3_vs_D0","Interferon Signaling","37/328","266/11287",37,1.3664163323438e-15,1.24890452776223e-12,1.00815345165237e-12
"Reactome","D3_vs_D0","Neutrophil degranulation","43/328","475/11287",43,2.45887498773558e-11,8.48039215191188e-09,6.84562865236349e-09
"Reactome","D3_vs_D0","Interferon gamma signaling","19/328","96/11287",19,2.783498518133e-11,8.48039215191188e-09,6.84562865236349e-09
"Reactome","D3_vs_D0","Interferon alpha/beta signaling","14/328","57/11287",14,5.78325962678425e-10,1.3214748247202e-07,1.06673438697551e-07
"Reactome","D3_vs_D0","Modulation of host responses by IFN-stimulated genes","8/328","17/11287",8,9.03918153383714e-09,1.65236238438543e-06,1.33383681792196e-06
"Reactome","D3_vs_D0","Antimicrobial mechanism of IFN-stimulated genes","19/328","159/11287",19,1.68896768113068e-07,2.57286076758907e-05,2.07689091184054e-05
"Reactome","D3_vs_D0","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","13/328","95/11287",13,3.39215672439869e-06,0.000442918749442915,0.000357537390670295
"Reactome","D3_vs_D0","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","15/328","131/11287",15,5.84955130063534e-06,0.000668311236097587,0.000539481012737681
"Reactome","D3_vs_D0","Chemokine receptors bind chemokines","10/328","59/11287",10,6.63864485268398e-06,0.00067419126615035,0.00054422755057283
"Reactome","D3_vs_D0","Butyrophilin (BTN) family interactions","5/328","12/11287",5,1.34590968047481e-05,0.00123016144795397,0.000993023471591245
"Reactome","D3_vs_D0","Interleukin-10 signaling","8/328","45/11287",8,3.93689678348657e-05,0.00327120332736975,0.00264061411599941
"Reactome","D3_vs_D0","Bacterial Infection Pathways","12/328","106/11287",12,5.6364201963281e-05,0.00429307338286991,0.00346549848521423
"Reactome","D3_vs_D0","Non-canonical inflammasome activation","4/328","10/11287",4,0.000128008541588367,0.00899998515475137,0.00726505981593341
"Reactome","D3_vs_D0","PKR-mediated signaling","9/328","76/11287",9,0.000340105065706052,0.0222040021468094,0.017923741092453
"Reactome","D3_vs_D0","Erythrocytes take up carbon dioxide and release oxygen","4/328","13/11287",4,0.000406671455145472,0.0227830039416543,0.0183911288270717
"Reactome","D3_vs_D0","O2/CO2 exchange in erythrocytes","4/328","13/11287",4,0.000406671455145472,0.0227830039416543,0.0183911288270717
"Reactome","D3_vs_D0","Antimicrobial peptides","10/328","95/11287",10,0.000423753902634708,0.0227830039416543,0.0183911288270717
"Reactome","D3_vs_D0","Pyroptosis","5/328","25/11287",5,0.000661393423812767,0.0326642910503763,0.0263676021955169
"Reactome","D3_vs_D0","Respiratory Syncytial Virus Infection Pathway","11/328","119/11287",11,0.000679016991200382,0.0326642910503763,0.0263676021955169
"Reactome","D3_vs_D0","Signaling by Interleukins","26/328","456/11287",26,0.000804042323752159,0.0367447341954737,0.0296614591313806
"Reactome","D3_vs_D0","ISG15 antiviral mechanism","8/328","70/11287",8,0.000918657347989056,0.0380963333402972,0.0307525107792962
"Reactome","D3_vs_D0","Caspase activation via extrinsic apoptotic signalling pathway","5/328","27/11287",5,0.000958225826850544,0.0380963333402972,0.0307525107792962
"Reactome","D3_vs_D0","Infection with Enterobacteria","6/328","40/11287",6,0.000958660466987785,0.0380963333402972,0.0307525107792962
"Reactome","D3_vs_D0","Caspase activation via Death Receptors in the presence of ligand","4/328","17/11287",4,0.00123464225920212,0.0455474697757468,0.0367672931338697
"Reactome","D3_vs_D0","Regulated Necrosis","7/328","57/11287",7,0.0012458279479143,0.0455474697757468,0.0367672931338697
"GO-BP","D7_vs_D0","defense response to virus","97/1564","305/18842",97,1.41698476237018e-32,7.28613564810744e-29,7.28613564810744e-29
"GO-BP","D7_vs_D0","response to virus","105/1564","400/18842",105,2.42960790015012e-27,6.24652191128597e-24,6.24652191128597e-24
"GO-BP","D7_vs_D0","regulation of innate immune response","101/1564","482/18842",101,1.5771923764845e-18,2.70330773329444e-15,2.70330773329444e-15
"GO-BP","D7_vs_D0","negative regulation of viral process","34/1564","74/18842",34,6.51787172022896e-18,8.37872409635433e-15,8.37872409635433e-15
"GO-BP","D7_vs_D0","negative regulation of viral genome replication","27/1564","48/18842",27,2.12229646254521e-17,2.1825696820815e-14,2.1825696820815e-14
"GO-BP","D7_vs_D0","regulation of viral process","46/1564","136/18842",46,2.7784909733629e-17,2.38116676417201e-14,2.38116676417201e-14
"GO-BP","D7_vs_D0","regulation of viral life cycle","40/1564","110/18842",40,1.86557360913485e-16,1.37039707116734e-13,1.37039707116734e-13
"GO-BP","D7_vs_D0","positive regulation of innate immune response","83/1564","396/18842",83,1.92839448908861e-15,1.2394755578617e-12,1.2394755578617e-12
"GO-BP","D7_vs_D0","positive regulation of cytokine production","95/1564","499/18842",95,1.04035453388569e-14,5.9438922369336e-12,5.9438922369336e-12
"GO-BP","D7_vs_D0","positive regulation of response to biotic stimulus","85/1564","424/18842",85,1.32000946476961e-14,6.78748866784535e-12,6.78748866784535e-12
"GO-BP","D7_vs_D0","antiviral innate immune response","30/1564","73/18842",30,2.36431957071744e-14,1.10521193023901e-11,1.10521193023901e-11
"GO-BP","D7_vs_D0","pattern recognition receptor signaling pathway","66/1564","291/18842",66,3.08778385328366e-14,1.32311538113205e-11,1.32311538113205e-11
"GO-BP","D7_vs_D0","leukocyte mediated immunity","84/1564","429/18842",84,7.54712015639641e-14,2.98517629570695e-11,2.98517629570695e-11
"GO-BP","D7_vs_D0","activation of innate immune response","70/1564","326/18842",70,9.18077519102571e-14,3.37196757373244e-11,3.37196757373244e-11
"GO-BP","D7_vs_D0","innate immune response-activating signaling pathway","67/1564","306/18842",67,1.18229736797483e-13,4.05291537741773e-11,4.05291537741773e-11
"GO-BP","D7_vs_D0","regulation of viral genome replication","30/1564","77/18842",30,1.29214425031539e-13,4.1526285844511e-11,4.1526285844511e-11
"GO-BP","D7_vs_D0","response to molecule of bacterial origin","66/1564","319/18842",66,2.82147525052403e-12,8.53413278717328e-10,8.53413278717327e-10
"GO-BP","D7_vs_D0","response to lipopolysaccharide","62/1564","302/18842",62,1.82933648316664e-11,5.22580455357937e-09,5.22580455357937e-09
"GO-BP","D7_vs_D0","positive regulation of interleukin-1 beta production","24/1564","63/18842",24,6.30584601791389e-11,1.70656106442701e-08,1.70656106442701e-08
"GO-BP","D7_vs_D0","viral process","71/1564","383/18842",71,9.11701812119258e-11,2.34398535895861e-08,2.34398535895861e-08
"GO-BP","D7_vs_D0","viral genome replication","32/1564","110/18842",32,1.69207232150283e-10,4.14315994150836e-08,4.14315994150836e-08
"GO-BP","D7_vs_D0","interferon-mediated signaling pathway","31/1564","105/18842",31,2.15788705529899e-10,5.04357056288518e-08,5.04357056288518e-08
"GO-BP","D7_vs_D0","cytoplasmic pattern recognition receptor signaling pathway","44/1564","191/18842",44,3.50183734020594e-10,7.82889026232129e-08,7.82889026232129e-08
"GO-BP","D7_vs_D0","positive regulation of interleukin-1 production","25/1564","74/18842",25,5.08838129207922e-10,1.09018569182797e-07,1.09018569182797e-07
"GO-BP","D7_vs_D0","myeloid leukocyte activation","48/1564","222/18842",48,5.62468011104905e-10,1.15688420524057e-07,1.15688420524057e-07
"GO-BP","D7_vs_D0","cellular response to molecule of bacterial origin","48/1564","223/18842",48,6.60096025053039e-10,1.28823711405014e-07,1.28823711405014e-07
"GO-BP","D7_vs_D0","cellular response to biotic stimulus","51/1564","245/18842",51,6.76437224413724e-10,1.28823711405014e-07,1.28823711405014e-07
"GO-BP","D7_vs_D0","positive regulation of tumor necrosis factor production","32/1564","116/18842",32,7.55404080936827e-10,1.38724563720613e-07,1.38724563720613e-07
"GO-BP","D7_vs_D0","myeloid leukocyte mediated immunity","30/1564","104/18842",30,7.84687480631434e-10,1.39133207772649e-07,1.39133207772649e-07
"GO-BP","D7_vs_D0","cellular response to lipopolysaccharide","46/1564","210/18842",46,8.19085534096297e-10,1.40391260544105e-07,1.40391260544105e-07
"GO-BP","D7_vs_D0","homeostasis of number of cells","46/1564","214/18842",46,1.56368837473555e-09,2.593705039642e-07,2.593705039642e-07
"GO-BP","D7_vs_D0","positive regulation of tumor necrosis factor superfamily cytokine production","32/1564","120/18842",32,1.91754231197423e-09,3.08125080255359e-07,3.08125080255359e-07
"GO-BP","D7_vs_D0","defense response to bacterium","60/1564","322/18842",60,2.13180198590803e-09,3.32173509440578e-07,3.32173509440578e-07
"GO-BP","D7_vs_D0","viral life cycle","55/1564","284/18842",55,2.3802949607781e-09,3.59984608480029e-07,3.59984608480029e-07
"GO-BP","D7_vs_D0","intracellular receptor signaling pathway","69/1564","399/18842",69,3.61592344658394e-09,5.31230810352417e-07,5.31230810352417e-07
"GO-BP","D7_vs_D0","immune response-regulating cell surface receptor signaling pathway","68/1564","392/18842",68,4.11760006207324e-09,5.88130542199461e-07,5.88130542199461e-07
"GO-BP","D7_vs_D0","lymphocyte mediated immunity","61/1564","339/18842",61,6.29145475080232e-09,8.74342171043934e-07,8.74342171043934e-07
"GO-BP","D7_vs_D0","response to type II interferon","29/1564","109/18842",29,1.15065095237282e-08,1.55701242028975e-06,1.55701242028975e-06
"GO-BP","D7_vs_D0","pyroptotic inflammatory response","17/1564","42/18842",17,1.32250783954006e-08,1.74367572074743e-06,1.74367572074743e-06
"GO-BP","D7_vs_D0","type I interferon-mediated signaling pathway","24/1564","80/18842",24,1.63712178471129e-08,2.09571119038732e-06,2.09571119038732e-06
"GO-BP","D7_vs_D0","myeloid cell differentiation","63/1564","364/18842",63,1.671026036676e-08,2.09571119038732e-06,2.09571119038732e-06
"GO-BP","D7_vs_D0","regulation of response to cytokine stimulus","41/1564","196/18842",41,2.70860837675097e-08,3.16476713035751e-06,3.16476713035751e-06
"GO-BP","D7_vs_D0","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","64/1564","377/18842",64,2.7549376389372e-08,3.16476713035751e-06,3.16476713035751e-06
"GO-BP","D7_vs_D0","interleukin-1 beta production","29/1564","113/18842",29,2.76963284453691e-08,3.16476713035751e-06,3.16476713035751e-06
"GO-BP","D7_vs_D0","regulation of interleukin-1 beta production","29/1564","113/18842",29,2.76963284453691e-08,3.16476713035751e-06,3.16476713035751e-06
"GO-BP","D7_vs_D0","tumor necrosis factor superfamily cytokine production","40/1564","196/18842",40,8.11819542791845e-08,8.88165125326737e-06,8.88165125326737e-06
"GO-BP","D7_vs_D0","regulation of tumor necrosis factor superfamily cytokine production","40/1564","196/18842",40,8.11819542791845e-08,8.88165125326737e-06,8.88165125326737e-06
"GO-BP","D7_vs_D0","positive regulation of interferon-beta production","16/1564","42/18842",16,9.77487291134018e-08,1.04713326062732e-05,1.04713326062732e-05
"GO-BP","D7_vs_D0","interleukin-1 production","31/1564","133/18842",31,1.03300123151482e-07,1.06233846648984e-05,1.06233846648984e-05
"GO-BP","D7_vs_D0","regulation of interleukin-1 production","31/1564","133/18842",31,1.03300123151482e-07,1.06233846648984e-05,1.06233846648984e-05
"GO-BP","D7_vs_D0","tumor necrosis factor production","39/1564","191/18842",39,1.15748841068367e-07,1.14457796302605e-05,1.14457796302605e-05
"GO-BP","D7_vs_D0","regulation of tumor necrosis factor production","39/1564","191/18842",39,1.15748841068367e-07,1.14457796302605e-05,1.14457796302605e-05
"GO-BP","D7_vs_D0","cell killing","45/1564","238/18842",45,1.38200860070194e-07,1.34080909902063e-05,1.34080909902063e-05
"GO-BP","D7_vs_D0","myeloid cell homeostasis","30/1564","128/18842",30,1.44961956208767e-07,1.38035996078792e-05,1.38035996078792e-05
"GO-BP","D7_vs_D0","response to interferon-beta","14/1564","34/18842",14,1.97634839385324e-07,1.84770608021697e-05,1.84770608021697e-05
"GO-BP","D7_vs_D0","regulation of type I interferon production","31/1564","137/18842",31,2.10625076664372e-07,1.86924061126182e-05,1.86924061126182e-05
"GO-BP","D7_vs_D0","type I interferon production","31/1564","137/18842",31,2.10625076664372e-07,1.86924061126182e-05,1.86924061126182e-05
"GO-BP","D7_vs_D0","positive regulation of interleukin-8 production","20/1564","66/18842",20,2.10843942927237e-07,1.86924061126182e-05,1.86924061126182e-05
"GO-BP","D7_vs_D0","positive regulation of canonical NF-kappaB signal transduction","43/1564","226/18842",43,2.17138110253977e-07,1.89241383546771e-05,1.89241383546771e-05
"GO-BP","D7_vs_D0","regulation of inflammatory response","67/1564","429/18842",67,3.40623603867136e-07,2.91914428514136e-05,2.91914428514136e-05
"GO-BP","D7_vs_D0","positive regulation of type I interferon production","22/1564","80/18842",22,3.51940153241113e-07,2.96668240650131e-05,2.96668240650131e-05
"GO-BP","D7_vs_D0","regulation of cytokine-mediated signaling pathway","37/1564","184/18842",37,3.6242219148028e-07,3.00576598159936e-05,3.00576598159936e-05
"GO-BP","D7_vs_D0","organ or tissue specific immune response","17/1564","52/18842",17,5.1114994734472e-07,4.17195718928024e-05,4.17195718928024e-05
"GO-BP","D7_vs_D0","acute inflammatory response to antigenic stimulus","12/1564","27/18842",12,5.48098657005114e-07,4.40363014737546e-05,4.40363014737546e-05
"GO-BP","D7_vs_D0","erythrocyte differentiation","26/1564","109/18842",26,6.72085264972982e-07,5.31671143460165e-05,5.31671143460165e-05
"GO-BP","D7_vs_D0","regulation of canonical NF-kappaB signal transduction","54/1564","326/18842",54,7.35257423850187e-07,5.72832374763282e-05,5.72832374763282e-05
"GO-BP","D7_vs_D0","leukocyte migration","57/1564","352/18842",57,7.79237804897403e-07,5.85562900504614e-05,5.85562900504614e-05
"GO-BP","D7_vs_D0","cellular response to type II interferon","20/1564","71/18842",20,7.80958025832077e-07,5.85562900504614e-05,5.85562900504614e-05
"GO-BP","D7_vs_D0","positive regulation of response to cytokine stimulus","19/1564","65/18842",19,7.85761185041197e-07,5.85562900504614e-05,5.85562900504614e-05
"GO-BP","D7_vs_D0","negative regulation of response to biotic stimulus","29/1564","131/18842",29,8.349479655204e-07,6.13328919815128e-05,6.13328919815128e-05
"GO-BP","D7_vs_D0","mucosal immune response","16/1564","49/18842",16,1.12374735967317e-06,8.1384632724499e-05,8.1384632724499e-05
"GO-BP","D7_vs_D0","erythrocyte homeostasis","26/1564","112/18842",26,1.17303279413984e-06,8.2626501746124e-05,8.2626501746124e-05
"GO-BP","D7_vs_D0","defense response to Gram-positive bacterium","26/1564","112/18842",26,1.17303279413984e-06,8.2626501746124e-05,8.2626501746124e-05
"GO-BP","D7_vs_D0","innate immune response in mucosa","13/1564","34/18842",13,1.49064994918533e-06,0.000103580027550148,0.000103580027550148
"GO-BP","D7_vs_D0","leukocyte degranulation","20/1564","74/18842",20,1.60293176543854e-06,0.000109897001838466,0.000109897001838466
"GO-BP","D7_vs_D0","response to type I interferon","27/1564","122/18842",27,1.98555663580723e-06,0.000132891047268783,0.000132891047268783
"GO-BP","D7_vs_D0","positive regulation of inflammatory response","33/1564","166/18842",33,1.99000595871183e-06,0.000132891047268783,0.000132891047268783
"GO-BP","D7_vs_D0","positive regulation of pattern recognition receptor signaling pathway","21/1564","82/18842",21,2.30300986080053e-06,0.000151821496208158,0.000151821496208158
"GO-BP","D7_vs_D0","canonical NF-kappaB signal transduction","54/1564","339/18842",54,2.51763885811278e-06,0.000163869607701467,0.000163869607701467
"GO-BP","D7_vs_D0","interleukin-27-mediated signaling pathway","7/1564","10/18842",7,2.56976437812638e-06,0.000165171605404073,0.000165171605404073
"GO-BP","D7_vs_D0","lipopolysaccharide-mediated signaling pathway","17/1564","58/18842",17,2.84740566326416e-06,0.000176401926753064,0.000176401926753064
"GO-BP","D7_vs_D0","interferon-beta production","17/1564","58/18842",17,2.84740566326416e-06,0.000176401926753064,0.000176401926753064
"GO-BP","D7_vs_D0","regulation of interferon-beta production","17/1564","58/18842",17,2.84740566326416e-06,0.000176401926753064,0.000176401926753064
"GO-BP","D7_vs_D0","neutrophil activation","14/1564","42/18842",14,3.98172819918093e-06,0.00024373864762129,0.00024373864762129
"GO-BP","D7_vs_D0","regulation of leukocyte mediated immunity","39/1564","219/18842",39,4.2743209528037e-06,0.000258571274580195,0.000258571274580195
"GO-BP","D7_vs_D0","immunoglobulin mediated immune response","33/1564","172/18842",33,4.47117529691412e-06,0.00026552087690182,0.00026552087690182
"GO-BP","D7_vs_D0","negative regulation of response to external stimulus","62/1564","416/18842",62,4.49247691374141e-06,0.00026552087690182,0.00026552087690182
"GO-BP","D7_vs_D0","antibacterial humoral response","21/1564","86/18842",21,5.23316435109985e-06,0.000305783307879039,0.000305783307879039
"GO-BP","D7_vs_D0","acute inflammatory response","23/1564","100/18842",23,5.63758149908826e-06,0.000325712854700133,0.000325712854700133
"GO-BP","D7_vs_D0","negative regulation of innate immune response","22/1564","94/18842",22,6.6246952174583e-06,0.000378490920090784,0.000378490920090784
