"factor","rank","feature","gene_symbol","value","abs_weight","view","feature_label"
"Factor13",20,"ENSG00000250696","UGT2B11-AS1",-0.0841976925730705,0.0841976925730705,"RNA","UGT2B11-AS1"
"Factor14",1,"ENSG00000135218","CD36",-0.469927549362183,0.469927549362183,"RNA","CD36"
"Factor14",2,"ENSG00000286030","ENSG00000286030",-0.460061132907867,0.460061132907867,"RNA","ENSG00000286030"
"Factor14",3,"ENSG00000101162","TUBB1",-0.453016579151154,0.453016579151154,"RNA","TUBB1"
"Factor14",4,"ENSG00000090104","RGS1",-0.449880629777908,0.449880629777908,"RNA","RGS1"
"Factor14",5,"ENSG00000158856","DMTN",-0.443902134895325,0.443902134895325,"RNA","DMTN"
"Factor14",6,"ENSG00000197635","DPP4",-0.442783266305923,0.442783266305923,"RNA","DPP4"
"Factor14",7,"ENSG00000102245","CD40LG",-0.437613099813461,0.437613099813461,"RNA","CD40LG"
"Factor14",8,"ENSG00000184613","NELL2",-0.431888043880463,0.431888043880463,"RNA","NELL2"
"Factor14",9,"ENSG00000257315","ZBED6",-0.410609602928162,0.410609602928162,"RNA","ZBED6"
"Factor14",10,"ENSG00000284671","ENSG00000284671",-0.406838625669479,0.406838625669479,"RNA","ENSG00000284671"
"Factor14",11,"ENSG00000288632","ENSG00000288632",-0.406230688095093,0.406230688095093,"RNA","ENSG00000288632"
"Factor14",12,"ENSG00000152969","JAKMIP1",-0.397463858127594,0.397463858127594,"RNA","JAKMIP1"
"Factor14",13,"ENSG00000257524","ENSG00000257524",-0.396532416343689,0.396532416343689,"RNA","ENSG00000257524"
"Factor14",14,"ENSG00000213413","PVRIG",-0.388481497764587,0.388481497764587,"RNA","PVRIG"
"Factor14",15,"ENSG00000236973","GAPDHP51",-0.379431158304214,0.379431158304214,"RNA","GAPDHP51"
"Factor14",16,"ENSG00000249240","ENSG00000249240",-0.379095733165741,0.379095733165741,"RNA","ENSG00000249240"
"Factor14",17,"ENSG00000183542","KLRC4",-0.371331304311752,0.371331304311752,"RNA","KLRC4"
"Factor14",18,"ENSG00000211746","TRBV19",-0.367567598819733,0.367567598819733,"RNA","TRBV19"
"Factor14",19,"ENSG00000130684","ZNF337",-0.367230117321014,0.367230117321014,"RNA","ZNF337"
"Factor14",20,"ENSG00000138722","MMRN1",-0.365605682134628,0.365605682134628,"RNA","MMRN1"
"Factor15",1,"ENSG00000114374","USP9Y",0.828091979026794,0.828091979026794,"RNA","USP9Y"
"Factor15",2,"ENSG00000012817","KDM5D",0.823311328887939,0.823311328887939,"RNA","KDM5D"
"Factor15",3,"ENSG00000099725","ENSG00000099725",0.820562183856964,0.820562183856964,"RNA","ENSG00000099725"
"Factor15",4,"ENSG00000131002","ENSG00000131002",0.820175528526306,0.820175528526306,"RNA","ENSG00000131002"
"Factor15",5,"ENSG00000129824","RPS4Y1",0.819672226905823,0.819672226905823,"RNA","RPS4Y1"
"Factor15",6,"ENSG00000067048","DDX3Y",0.815601825714111,0.815601825714111,"RNA","DDX3Y"
"Factor15",7,"ENSG00000183878","UTY",0.814817428588867,0.814817428588867,"RNA","UTY"
"Factor15",8,"ENSG00000198692","EIF1AY",0.805880546569824,0.805880546569824,"RNA","EIF1AY"
"Factor15",9,"ENSG00000067646","ZFY",0.802513241767883,0.802513241767883,"RNA","ZFY"
"Factor15",10,"ENSG00000231535","LINC00278",0.799180448055267,0.799180448055267,"RNA","LINC00278"
"Factor15",11,"ENSG00000229807","XIST",-0.796087145805359,0.796087145805359,"RNA","XIST"
"Factor15",12,"ENSG00000288621","ENSG00000288621",0.780003011226654,0.780003011226654,"RNA","ENSG00000288621"
"Factor15",13,"ENSG00000176728","TTTY14",0.760701954364777,0.760701954364777,"RNA","TTTY14"
"Factor15",14,"ENSG00000215580","ENSG00000215580",0.735199272632599,0.735199272632599,"RNA","ENSG00000215580"
"Factor15",15,"ENSG00000260197","ENSG00000260197",0.684150457382202,0.684150457382202,"RNA","ENSG00000260197"
"Factor15",16,"ENSG00000229236","TTTY10",0.682847559452057,0.682847559452057,"RNA","TTTY10"
"Factor15",17,"ENSG00000089472","HEPH",-0.629582941532135,0.629582941532135,"RNA","HEPH"
"Factor15",18,"ENSG00000237294","ENSG00000237294",-0.550297796726227,0.550297796726227,"RNA","ENSG00000237294"
"Factor15",19,"ENSG00000270641","TSIX",-0.544965028762817,0.544965028762817,"RNA","TSIX"
"Factor15",20,"ENSG00000286217","ENSG00000286217",0.470355421304703,0.470355421304703,"RNA","ENSG00000286217"
